fold,name,dPSNR,severe,unsafe_action_label,v221_unsafe_action_probability,trained_mid_unsafe_prob,trained_final_unsafe_prob,trained_mean_unsafe_prob
0,1449_0.94_0.78.png,0.18814143798697103,0,0,0.02907492220401764,0.18270443379878998,0.18256352841854095,0.18263398110866547
0,1880_0.85_1.19.png,-0.029716097771405714,0,0,0.03172079101204872,0.18270446360111237,0.18256352841854095,0.18263399600982666
0,2762_0.59_1.16.png,-0.13642927680341188,0,0,0.16462785005569458,0.18270452320575714,0.18256349861621857,0.18263401091098785
0,1673_0.63_1.48.png,0.1659555241004469,0,0,0.0989261344075203,0.18270434439182281,0.18256352841854095,0.18263393640518188
0,1411_0.54_0.56.png,0.05175197414512667,0,1,0.9006547927856445,0.1827045977115631,0.18256352841854095,0.18263406306505203
0,908_0.69_1.35.png,-0.22077209890444038,1,0,0.033416468650102615,0.182704359292984,0.18256352841854095,0.18263394385576248
0,529_0.86_1.04.png,0.004458603472109246,0,0,0.004337391350418329,0.1827043890953064,0.18256352841854095,0.18263395875692368
0,70_0.78_1.4.png,-0.1660273716406664,0,0,0.12703002989292145,0.18270425498485565,0.18256352841854095,0.1826338917016983
0,1784_0.94_1.15.png,0.04898426581969062,0,0,0.27727317810058594,0.18270447850227356,0.18256352841854095,0.18263400346040726
0,2577_0.96_0.78.png,0.13010731713798407,0,0,0.3098437786102295,0.18270450830459595,0.18256352841854095,0.18263401836156845
0,1890_0.83_1.44.png,0.04772958567024688,0,0,0.09926971048116684,0.18270447850227356,0.18256352841854095,0.18263400346040726
0,2886_0.56_1.65.png,-0.2640682589808776,1,1,0.9547155499458313,0.18270424008369446,0.18256352841854095,0.1826338842511177
0,1240_0.64_0.5.png,0.40398809718502804,0,0,0.9991135001182556,0.18270447850227356,0.18256349861621857,0.18263398855924606
0,1286_0.98_0.99.png,-0.08973340330935997,0,0,0.008313635364174843,0.1827043741941452,0.18256352841854095,0.18263395130634308
0,2910_0.56_1.62.png,-0.03801696840544366,0,0,0.12785908579826355,0.1827043741941452,0.18256352841854095,0.18263395130634308
