family,alpha,scope,count,mean_dPSNR,mean_bootstrap_LCB,hard_bottom25_dPSNR,hard_bootstrap_LCB,easy_top25_dPSNR,worst_dPSNR,dSSIM,positive_ratio,positive_Wilson_LCB,nonnegative_ratio,severe_loss_count,severe_loss_per_600,severe_Wilson_UCB,expert_id,expert_name
fulludp,0.75,all,600,-0.0054300022125244145,-0.11161387840906778,0.11751987457275391,-0.10198084131876627,-0.08486930847167969,-6.58233642578125,-0.0003816301623980204,0.49833333333333335,0.4584632924729355,0.49833333333333335,256,256.0,0.46658555855919576,wdmamba,WDMamba
fulludp,1.0,all,600,-0.43169132550557454,-0.5587364099820455,0.0048442331949869796,-0.2772151368459066,-0.8851267751057943,-8.424148559570312,-0.0010118551055590312,0.405,0.3664453213257526,0.405,329,329.0,0.5877211255177183,wdmamba,WDMamba
expert,0.0,all,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.006361933328210577,fsudp,FSNet+UDP
expert,0.125,all,600,0.56147310256958,0.5421861864725749,0.5225772857666016,0.48882621828715006,0.6102801767985025,-0.3823966979980469,0.0005550840497016906,0.9783333333333334,0.9632853794080659,0.9783333333333334,1,1.0,0.009379799586568824,fsudp,FSNet+UDP
expert,0.25,all,600,1.1022660223642986,1.0621078777313233,1.0646472803751628,0.9939660936991374,1.1502952067057293,-0.8738479614257812,0.001030326286951701,0.9733333333333334,0.9571237027023953,0.9733333333333334,7,7.0,0.023884309997529277,fsudp,FSNet+UDP
expert,0.375,all,600,1.6023010762532552,1.5391566308339435,1.6239867146809897,1.511856970469157,1.581052220662435,-1.4380111694335938,0.0014222350716590882,0.97,0.9530788824105051,0.97,14,14.0,0.03878268132097568,fsudp,FSNet+UDP
expert,0.5,all,600,2.0372517172495526,1.9518395193417868,2.195684700012207,2.0409108346303304,1.8643054962158203,-2.0437889099121094,0.0017263187964757284,0.955,0.9353189194367528,0.955,18,18.0,0.04692111758949495,fsudp,FSNet+UDP
expert,0.75,all,600,2.6051977316538495,2.4799846822420757,3.3258335240681967,3.0660062395731607,1.884767049153646,-4.371772766113281,0.002046371897061666,0.9166666666666666,0.891812082421112,0.9166666666666666,40,40.0,0.08950966345363401,fsudp,FSNet+UDP
expert,1.0,all,600,2.64239156405131,2.4651516928672788,4.206926918029785,3.81132288869222,1.2047945404052733,-6.490203857421875,0.0019294390082359315,0.8583333333333333,0.8281468238305398,0.8583333333333333,71,71.0,0.14663887240619716,fsudp,FSNet+UDP
fulludp,0.0,all,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.006361933328210577,fsudp,FSNet+UDP
fulludp,0.125,all,600,0.14056665420532227,0.12190874719619751,0.05829541524251302,0.023270050048828126,0.26671600341796875,-0.8958015441894531,9.985377391179403e-05,0.72,0.6827601080666953,0.72,58,58.0,0.12294176722022086,fsudp,FSNet+UDP
fulludp,0.25,all,600,0.22734577496846517,0.18968094555536905,0.10141343434651692,0.029479417800903324,0.4267451985677083,-1.9697303771972656,0.00013226956129074095,0.6783333333333333,0.6399235505018405,0.6783333333333333,105,105.0,0.20744490949997446,fsudp,FSNet+UDP
fulludp,0.375,all,600,0.25633511861165365,0.20070771249135333,0.12962669372558594,0.02072885831197103,0.4698514302571615,-3.2007598876953125,9.91015632947286e-05,0.6266666666666667,0.5872724941106875,0.6266666666666667,150,150.0,0.28616492672987215,fsudp,FSNet+UDP
fulludp,0.5,all,600,0.22601926167805989,0.15046451091766355,0.14271812438964843,-0.0023272908528645803,0.39354522705078127,-4.4059295654296875,1.7463167508443196e-06,0.5866666666666667,0.5468342330602907,0.5866666666666667,195,195.0,0.3634883118590987,fsudp,FSNet+UDP
fulludp,0.75,all,600,-0.0054300022125244145,-0.11161387840906778,0.11751987457275391,-0.10198084131876627,-0.08486930847167969,-6.58233642578125,-0.0003816301623980204,0.49833333333333335,0.4584632924729355,0.49833333333333335,256,256.0,0.46658555855919576,fsudp,FSNet+UDP
fulludp,1.0,all,600,-0.43169132550557454,-0.5587364099820455,0.0048442331949869796,-0.2772151368459066,-0.8851267751057943,-8.424148559570312,-0.0010118551055590312,0.405,0.3664453213257526,0.405,329,329.0,0.5877211255177183,fsudp,FSNet+UDP
expert,0.0,all,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.006361933328210577,mbtaylor,MB-TaylorFormerV2-L
expert,0.125,all,600,0.4854629866282145,0.45712383000055945,0.6536301803588868,0.6006912682851155,0.25978591918945315,-1.2419624328613281,0.00033716340859731036,0.905,0.8788945836727722,0.905,21,21.000000000000004,0.05291242321535865,mbtaylor,MB-TaylorFormerV2-L
expert,0.25,all,600,0.8534050750732421,0.7931707828839619,1.2980757395426432,1.1823349939982097,0.26013028462727866,-2.7226028442382812,0.000537848671277364,0.845,0.8138556656698402,0.845,66,66.0,0.13756081504024148,mbtaylor,MB-TaylorFormerV2-L
expert,0.375,all,600,1.0780237674713136,0.982999871412913,1.8967619450887043,1.7236483561197917,0.007125651041666667,-4.186733245849609,0.0006059426069259644,0.8033333333333333,0.7696413232053111,0.8033333333333333,99,99.0,0.19681386178337973,mbtaylor,MB-TaylorFormerV2-L
expert,0.5,all,600,1.1433817990620931,1.016130243142446,2.38897590637207,2.179268325805664,-0.45567403157552083,-5.541713714599609,0.0005446753899256389,0.735,0.6982717120459301,0.735,138,138.0,0.26532797283508974,mbtaylor,MB-TaylorFormerV2-L
expert,0.75,all,600,0.8172297064463298,0.6226474901835124,2.935975507100423,2.6440784848531087,-1.764874267578125,-7.875820159912109,4.2295555273691814e-05,0.6133333333333333,0.5737627620835961,0.6133333333333333,215,215.0,0.39749183084245926,mbtaylor,MB-TaylorFormerV2-L
expert,1.0,all,600,0.011106379826863607,-0.2270916233062744,2.8524079513549805,2.4633625227610274,-3.2554720052083335,-9.786293029785156,-0.0009610287348429362,0.4866666666666667,0.44688472035162025,0.4866666666666667,294,294.0,0.5299365573506817,mbtaylor,MB-TaylorFormerV2-L
fulludp,0.0,all,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.006361933328210577,mbtaylor,MB-TaylorFormerV2-L
fulludp,0.125,all,600,0.14056665420532227,0.12190874719619751,0.05829541524251302,0.023270050048828126,0.26671600341796875,-0.8958015441894531,9.985377391179403e-05,0.72,0.6827601080666953,0.72,58,58.0,0.12294176722022086,mbtaylor,MB-TaylorFormerV2-L
fulludp,0.25,all,600,0.22734577496846517,0.18968094555536905,0.10141343434651692,0.029479417800903324,0.4267451985677083,-1.9697303771972656,0.00013226956129074095,0.6783333333333333,0.6399235505018405,0.6783333333333333,105,105.0,0.20744490949997446,mbtaylor,MB-TaylorFormerV2-L
fulludp,0.375,all,600,0.25633511861165365,0.20070771249135333,0.12962669372558594,0.02072885831197103,0.4698514302571615,-3.2007598876953125,9.91015632947286e-05,0.6266666666666667,0.5872724941106875,0.6266666666666667,150,150.0,0.28616492672987215,mbtaylor,MB-TaylorFormerV2-L
fulludp,0.5,all,600,0.22601926167805989,0.15046451091766355,0.14271812438964843,-0.0023272908528645803,0.39354522705078127,-4.4059295654296875,1.7463167508443196e-06,0.5866666666666667,0.5468342330602907,0.5866666666666667,195,195.0,0.3634883118590987,mbtaylor,MB-TaylorFormerV2-L
fulludp,0.75,all,600,-0.0054300022125244145,-0.11161387840906778,0.11751987457275391,-0.10198084131876627,-0.08486930847167969,-6.58233642578125,-0.0003816301623980204,0.49833333333333335,0.4584632924729355,0.49833333333333335,256,256.0,0.46658555855919576,mbtaylor,MB-TaylorFormerV2-L
fulludp,1.0,all,600,-0.43169132550557454,-0.5587364099820455,0.0048442331949869796,-0.2772151368459066,-0.8851267751057943,-8.424148559570312,-0.0010118551055590312,0.405,0.3664453213257526,0.405,329,329.0,0.5877211255177183,mbtaylor,MB-TaylorFormerV2-L
