haze_signature,eligible_count,confirmation_count,expected_confirmation_count,absolute_deviation,group_tolerance,pass
0.51_0.55,1,0,0.360000000000,0.360000000000,1,true
0.51_0.66,1,0,0.360000000000,0.360000000000,1,true
0.51_0.74,2,1,0.720000000000,0.280000000000,1,true
0.51_0.85,1,0,0.360000000000,0.360000000000,1,true
0.51_0.99,1,0,0.360000000000,0.360000000000,1,true
0.51_1.03,1,0,0.360000000000,0.360000000000,1,true
0.51_1.05,1,0,0.360000000000,0.360000000000,1,true
0.51_1.22,1,0,0.360000000000,0.360000000000,1,true
0.51_1.32,1,0,0.360000000000,0.360000000000,1,true
0.51_1.4,1,0,0.360000000000,0.360000000000,1,true
0.51_1.46,1,0,0.360000000000,0.360000000000,1,true
0.51_1.58,1,0,0.360000000000,0.360000000000,1,true
0.51_1.6,1,0,0.360000000000,0.360000000000,1,true
0.51_1.63,1,0,0.360000000000,0.360000000000,1,true
0.51_1.64,2,1,0.720000000000,0.280000000000,1,true
0.51_1.87,1,0,0.360000000000,0.360000000000,1,true
0.51_1.96,1,0,0.360000000000,0.360000000000,1,true
0.52_0.53,1,0,0.360000000000,0.360000000000,1,true
0.52_0.61,1,0,0.360000000000,0.360000000000,1,true
0.52_0.78,1,0,0.360000000000,0.360000000000,1,true
0.52_0.84,1,0,0.360000000000,0.360000000000,1,true
0.52_0.9,1,0,0.360000000000,0.360000000000,1,true
0.52_0.95,1,0,0.360000000000,0.360000000000,1,true
0.52_0.98,1,0,0.360000000000,0.360000000000,1,true
0.52_1.0,1,0,0.360000000000,0.360000000000,1,true
0.52_1.03,1,0,0.360000000000,0.360000000000,1,true
0.52_1.04,1,0,0.360000000000,0.360000000000,1,true
0.52_1.06,1,0,0.360000000000,0.360000000000,1,true
0.52_1.19,2,1,0.720000000000,0.280000000000,1,true
0.52_1.23,1,0,0.360000000000,0.360000000000,1,true
0.52_1.3,2,1,0.720000000000,0.280000000000,1,true
0.52_1.75,1,0,0.360000000000,0.360000000000,1,true
0.52_1.86,1,0,0.360000000000,0.360000000000,1,true
0.52_1.93,1,0,0.360000000000,0.360000000000,1,true
0.52_1.98,1,0,0.360000000000,0.360000000000,1,true
0.53_0.53,1,0,0.360000000000,0.360000000000,1,true
0.53_0.61,1,0,0.360000000000,0.360000000000,1,true
0.53_0.77,1,0,0.360000000000,0.360000000000,1,true
0.53_0.86,1,0,0.360000000000,0.360000000000,1,true
0.53_1.16,1,0,0.360000000000,0.360000000000,1,true
0.53_1.21,1,0,0.360000000000,0.360000000000,1,true
0.53_1.25,1,0,0.360000000000,0.360000000000,1,true
0.53_1.27,1,0,0.360000000000,0.360000000000,1,true
0.53_1.36,1,0,0.360000000000,0.360000000000,1,true
0.53_1.46,1,0,0.360000000000,0.360000000000,1,true
0.53_1.48,1,0,0.360000000000,0.360000000000,1,true
0.53_1.49,1,0,0.360000000000,0.360000000000,1,true
0.53_1.52,1,0,0.360000000000,0.360000000000,1,true
0.53_1.59,1,0,0.360000000000,0.360000000000,1,true
0.53_1.63,1,0,0.360000000000,0.360000000000,1,true
0.53_1.64,1,0,0.360000000000,0.360000000000,1,true
0.53_1.69,2,1,0.720000000000,0.280000000000,1,true
0.53_1.85,1,0,0.360000000000,0.360000000000,1,true
0.54_0.56,1,0,0.360000000000,0.360000000000,1,true
0.54_0.67,1,0,0.360000000000,0.360000000000,1,true
0.54_0.77,1,0,0.360000000000,0.360000000000,1,true
