seed,image_id,assigned_target_image_id,assigned_target_hash,assigned_density_hash
3407,1002_0.73_1.47.png,2132_0.76_1.7.png,05dc7f37ac2f3f96abaefbc70153bf340516ca5d6e5497982a9f1193960b9b60,ca4d9af9f673ec6416bcfc196cd46a38b7c4a5b588cadad4c733c6012d47f06f
3407,1007_0.68_1.25.png,1271_0.65_1.66.png,1f4974aeeb8b48bf4ca61bf3667ca087793a828a466fe5231805ae3d46c80173,51b589adebb3f5aee5313a4b58433ab5707238e486c6b1e1131bec6ca9e462cb
3407,1012_0.85_1.28.png,2687_0.61_0.9.png,eef5e1b5939101328f43377f2f8ef1306655cf71417b86362c4d35fa3f0850a4,c9fa7613d055751d79b76a0f3d93c250ef8c20344eb1d19dd35473c1e2029a60
3407,1016_0.8_1.72.png,1326_0.77_0.97.png,8a243a19195c81b7395dd3c481a690639db99eedd9e3357df8925023dce801ab,f7fdfe8c79e435d107e64aeb26acd34bd18c4191ee8c5d32f4e310c015c1ae8f
3407,1022_0.66_1.05.png,25_0.59_1.43.png,7171124b02994158f81b6089049504b6e8bf511cfcfbed7a710aec0b7bf9bb7b,9fff1757343c1fc195f77bd5fa561238ad06fa50ca7b50731a1fea53c131efdd
3407,1023_0.5_1.87.png,2420_0.95_0.63.png,931d387263c7044865df2d3fa0ff329f73874bac433458fae1749db9b90f0dee,55b4a6ac8059a392ffd2a220c29e6e4bf979143dfa695c5245da0b799d0cc647
3407,1029_0.71_0.56.png,695_0.53_0.7.png,70a85f7ea5e70adc62088ed2e551dff737f735cb20f35fb700b889f81704fa03,d70b1855652a78c41dadfb55fd37413c97a056ab03769a402a18c850c10bc527
3407,103_0.75_1.59.png,2784_0.56_0.55.png,0840066e981e979bc8086c5f42896e1fafa1ad89da7badb84c0e30c74638bf22,dae481be0abbcc48f3a33adf55ebe6337223d0faf4b6611dc091ab2e63db4d64
3407,1042_0.91_0.56.png,2216_0.58_1.17.png,25002fb1269321c2c598705c5a49abd0a72c2451e4cf5854e2e7863ffff47176,05201990063ecde9a0784e3bc407516e0b7b4c8f5a0508f4d78bfe586a643a90
3407,1045_0.58_1.58.png,2747_0.87_1.0.png,cfc2569c9ab163718089f6756e62f08f33c5264164f05f16bb2814262083b4d7,9e4178314558bde65a39ae86eb24c7a9d724934a0962d84a5f246f7f7acd019a
3407,1060_0.94_1.09.png,1322_0.64_1.06.png,aad1c9fa2625cb50aa307960253877830f03a63c41e17fdf6e189b5055ace720,1b0f277639340e8a313a23b5d4af989624687a0521e853ba331b9ab971c8443a
3407,1064_0.54_0.97.png,1493_0.84_0.8.png,6f86e90b7f7dc34ff2966d4381e15fa12acb0614ec2955f277051ae3bb704d46,67453948411a09ca3077ee52b99bfa8fc482b3a017c04e86fbb6f3ae170b2320
3407,1072_0.58_0.58.png,542_0.55_1.46.png,02cfdda64c89ae8c88fec0878bc3dd3bdc3a793553807f5b2a40b32d34a0cb7c,60d3ae8904de24a82d19b6318938a54a908d87b466158a3ae2fa1bf1a4322c38
3407,1073_0.51_0.98.png,1518_0.62_1.44.png,b42b2f1b4e74d2882d2872d1c6d9c9f90d63face366685d6498bb811af6121b3,c1c5cf154408720093350fe11aec952e4a12d2aa48ff48efeab883ebf311c621
3407,1075_0.76_1.99.png,940_0.91_1.03.png,cd191621a601dd6da79afecb0c3b87faa6710fccb46fdb11ca23c93c2ae73c3c,6972e523efab5ead8fd5b29e3cfa246b18c50e42c91ba79b7654ddfb36578d71
3407,1080_0.59_1.22.png,2628_0.86_1.01.png,d7b79d9e3cff2dad59c296c2eef5590b10cd4c4cceb52564cd3a60fc2aca3c58,7ca0587ff80fc41d09bd628c01724f156d5eaa7b7a99ebb2005997c99b11cdb7
3407,1083_0.67_0.81.png,1168_0.56_0.69.png,84d3a24364fdad15eca3c8d4dfdd2a50fb314bdb7871d783993201f69d16955c,3c51e761aec1cfcd6c7d003ead8ccd05825e26b9497c57862accc0c2fa945dc0
3407,1090_0.54_0.58.png,1936_0.52_1.67.png,000175808deae14d2915e27bbc75e046201f2118d688ec349ed379c99a8f00f7,13a0942c75510b31c4cbd46f0b18aaf5b560be370190c5a0dfc44eed2fde8453
3407,1096_0.72_0.86.png,7_0.89_0.6.png,430e9c5521b904b9c0a694451b43ce0764d9fd2bbbf9e56befe08638634fb2d7,ed8d66a6c5ba3511deb06767abeb1ce7a9a28375c082f478c112781c0eb471e1
3407,1098_0.8_0.51.png,1080_0.59_1.22.png,ed0d41655f7e64ffb2f4e95ccf08ffb5113821c9618babb86c24e6efb699fdf4,ab1887e78acb74989da40713dc12d1c1b50402e38514c1855c1904d6d30ff166
3407,1099_0.54_1.76.png,79_0.62_1.54.png,54cfe8042577ba2343aa47e074bbf4d7becaad3944346e2aa3edce7da132aac5,abdadcd106c7e45cf78ffd9a9c59fdf6f8297281b7b395d91d57fd73440d48b7
3407,1102_0.65_0.94.png,2013_1.0_1.78.png,dddce179deecabb1691e418af670c8ebed9ff81f55b7b36305bf2c629f8a148b,328b8db071a99a8cbd45197ff52e5a1013c25440fa582fa8fade4dcb01593816
