image_id,hazy_name,hazy_path,gt_path,trans_path,width,height,sha256_hazy,sha256_gt,sha256_trans,split,fold_id
1000,1000_0.74_1.6.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/haze/1000_0.74_1.6.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/gt/1000.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1000.png,400,400,d47b55a6b9dd50bd1ea0d471575f6b3457f080e8fe7fe444610fc7318bffaebc,d0f40c8713d069052bc823430d03e1d17877eef5ad81d6861868db1d617a9dad,7b605422b4eb422da07ea9ac57d0cf74fd727e343af0988b0f55a9a276104dae,train,
1001,1001_0.89_1.66.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/haze/1001_0.89_1.66.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/gt/1001.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1001.png,400,400,a8198c6d7528cf642fddee6d155757f2dd12f177fe9a4d12603cfb88e653f0d1,e7096391caf9e6b46f72082391270c7f5bbabee25ac9dbf39f234f6b8c356973,2d9f2b207ef51c8edcf9e710d1f3e5d0431cb795a2db912beb3c13b528e388da,train,
1002,1002_0.73_1.47.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/haze/1002_0.73_1.47.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/gt/1002.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1002.png,400,400,1f32212e67ba579e403801f606eeefd560e860d551072befa92310f4bd50b48d,e7096391caf9e6b46f72082391270c7f5bbabee25ac9dbf39f234f6b8c356973,e4e4db6592083370972583784bcb0b9c47511794d293aaee7ea009bd2fcaf64f,train,
1003,1003_0.9_1.06.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/haze/1003_0.9_1.06.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/gt/1003.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1003.png,400,400,ed173043928f58685f4363f403df246a4ecea6393faf2c9627a639238ac224f0,e7096391caf9e6b46f72082391270c7f5bbabee25ac9dbf39f234f6b8c356973,f5bd6a4502ea7921d51f7b50c093346ef515654886e55888e1fe57c64e4a8e63,train,
1004,1004_0.91_1.17.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/haze/1004_0.91_1.17.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/gt/1004.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1004.png,400,400,3d1cffa204a952b63db3b3fd32d504ff129faa268d08cf6bb017563fa8cb4b00,e7096391caf9e6b46f72082391270c7f5bbabee25ac9dbf39f234f6b8c356973,a32276a043a0929b15aa69f0931a4e47bc589efab7e4e13bc9c8b7cd6d77751c,train,
1005,1005_0.74_1.81.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/haze/1005_0.74_1.81.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/gt/1005.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1005.png,400,400,a13d766ee5a189c69c859eb91bb5f4314f3988665bd7fc49ba8bfb23eb0e0b5e,075ac5554c8ae976e144853c342e9e5bcf0529276930d7d31c7ad6a20444071f,33ece498f5f09a481a98be5022cdeacc2a47ff3e7cdc52e05b0708212fe4b7f3,train,
1006,1006_0.89_1.55.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/haze/1006_0.89_1.55.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/gt/1006.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1006.png,400,400,65b91a1583d8ff1c9a52172a4c258e4c7b8a5e54d0928a88dbaa9d4d9b8fdbbc,075ac5554c8ae976e144853c342e9e5bcf0529276930d7d31c7ad6a20444071f,ab8f1918a1b51288e3c52d373648c7c22d9619209f45a884c267b33bb0cb6fae,train,
1007,1007_0.68_1.25.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/haze/1007_0.68_1.25.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/gt/1007.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1007.png,400,400,459f16005e3a09c7ffdb0ed5d8fef10c50b80b461341df8a9189e08f3b9e6e0f,075ac5554c8ae976e144853c342e9e5bcf0529276930d7d31c7ad6a20444071f,3558febe008fed9b16de9976b3c6eedca4780b287c3acd1c75b91ed9944b1614,train,
1008,1008_0.52_1.98.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/haze/1008_0.52_1.98.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/gt/1008.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1008.png,400,400,9db29b23c1f67d50db90970881c4511135b1af49e51d2b3adb38e1c16b0c4997,075ac5554c8ae976e144853c342e9e5bcf0529276930d7d31c7ad6a20444071f,9109f38d09e224f19093d488bca47e6786df097b9f9cab6cd87fd0681547440e,train,
1009,1009_0.84_0.56.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/haze/1009_0.84_0.56.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/gt/1009.png,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1009.png,400,400,b203704bdec3d2fbc1b77b3b5d4ab4b14bbfe0ac892119093a5be61aca45af12,de748918ebf83988c5a9acf2dd072da4c247f914d9c2b7a61a9111518bee2132,66264b63d4e87c47a0c8c9438442a52ad73711871702aba57713ccc5405a24fc,train,
