image_id,split_role
1000,train_inner
1001,train_inner
1002,val_inner
1003,train_inner
1004,train_inner
1005,train_inner
1006,train_inner
1007,val_inner
1008,train_inner
1009,train_inner
100,train_inner
1010,train_inner
1011,train_inner
1012,val_inner
1013,train_inner
1014,train_inner
1015,train_inner
1016,val_inner
1017,train_inner
1018,train_inner
1019,train_inner
101,train_inner
1020,train_inner
1021,train_inner
1022,val_inner
1023,val_inner
1024,train_inner
1025,train_inner
1026,train_inner
1027,train_inner
1028,train_inner
1029,val_inner
102,train_inner
1030,train_inner
1031,train_inner
1032,train_inner
1033,train_inner
1034,train_inner
1035,train_inner
1036,train_inner
1037,train_inner
1038,train_inner
1039,train_inner
103,val_inner
1040,train_inner
1041,train_inner
1042,val_inner
1043,train_inner
1044,train_inner
1045,val_inner
1046,train_inner
1047,train_inner
1048,train_inner
1049,train_inner
104,train_inner
1050,train_inner
1051,train_inner
1052,train_inner
1053,train_inner
1054,train_inner
1055,train_inner
1056,train_inner
1057,train_inner
1058,train_inner
1059,train_inner
105,train_inner
1060,val_inner
1061,train_inner
1062,train_inner
1063,train_inner
1064,val_inner
1065,train_inner
1066,train_inner
1067,train_inner
1068,train_inner
1069,train_inner
106,train_inner
1070,train_inner
1071,train_inner
1072,val_inner
1073,val_inner
1074,train_inner
1075,val_inner
1076,train_inner
1077,train_inner
1078,train_inner
1079,train_inner
107,train_inner
1080,val_inner
1081,train_inner
1082,train_inner
1083,val_inner
1084,train_inner
1085,train_inner
1086,train_inner
1087,train_inner
1088,train_inner
1089,train_inner
108,train_inner
1090,val_inner
1091,train_inner
1092,train_inner
1093,train_inner
1094,train_inner
1095,train_inner
1096,val_inner
1097,train_inner
1098,val_inner
1099,val_inner
109,train_inner
10,train_inner
1100,train_inner
1101,train_inner
1102,val_inner
1103,train_inner
1104,train_inner
1105,train_inner
1106,train_inner
1107,train_inner
1108,train_inner
1109,train_inner
110,val_inner
1110,train_inner
1111,train_inner
1112,train_inner
1113,val_inner
1114,train_inner
1115,train_inner
1116,train_inner
1117,train_inner
1118,train_inner
1119,train_inner
111,train_inner
1120,train_inner
1121,train_inner
1122,val_inner
1123,train_inner
1124,val_inner
1125,train_inner
1126,train_inner
1127,train_inner
1128,train_inner
1129,train_inner
112,train_inner
1130,train_inner
1131,train_inner
1132,train_inner
1133,train_inner
1134,val_inner
1135,train_inner
1136,train_inner
1137,train_inner
1138,train_inner
1139,train_inner
113,train_inner
1140,val_inner
1141,train_inner
1142,train_inner
1143,val_inner
1144,train_inner
1145,val_inner
1146,val_inner
1147,train_inner
