name,split,action_pixels,negative_pixels,ignore_pixels,isolated_pixels,low_adjacent_pixels,other_pixels
1004_0.91_1.17.png,train_calib,2344,434,648,281,6,676
100_0.65_1.43.png,train_calib,2348,109,687,384,84,988
1010_0.91_1.13.png,train_calib,3990,0,72,72,0,34
1011_0.79_0.66.png,train_calib,2654,0,351,284,26,1117
1018_0.88_0.54.png,train_calib,1040,320,2122,1864,25,631
101_0.78_1.87.png,train_calib,2991,0,507,490,128,605
1035_0.76_1.14.png,train_calib,3130,16,80,43,10,871
1051_0.69_0.54.png,train_calib,1789,215,684,310,4,1411
1052_0.73_1.22.png,train_calib,2760,23,185,86,4,1129
1055_0.8_1.95.png,train_calib,3337,21,423,152,180,405
1056_0.85_1.39.png,train_calib,2557,75,474,141,77,1062
107_0.77_1.67.png,train_calib,1968,0,373,359,20,1763
1087_0.68_1.22.png,train_calib,2604,20,73,18,11,1405
1088_0.57_0.97.png,train_calib,2185,154,241,48,15,1529
1094_0.77_1.07.png,train_calib,1869,547,723,210,7,964
1104_0.89_1.59.png,train_calib,3576,0,111,76,47,424
1107_0.98_1.25.png,train_calib,3570,3,186,163,19,337
1109_0.9_0.79.png,train_calib,968,549,805,401,0,1774
1115_0.58_1.94.png,train_calib,3029,3,77,47,45,987
1127_0.91_0.61.png,train_calib,582,612,1216,605,31,1711
1138_0.86_1.95.png,train_calib,3724,0,16,13,56,359
1163_0.95_1.89.png,train_calib,3206,0,0,0,11,890
1196_0.78_1.47.png,train_calib,1878,204,704,401,102,1345
1216_0.65_1.09.png,train_calib,2013,5,1507,1450,13,581
121_0.96_0.85.png,train_calib,1648,77,154,50,0,2217
1226_0.82_0.78.png,train_calib,2090,108,1335,942,117,656
1228_0.85_1.77.png,train_calib,2264,9,915,841,193,932
1233_0.54_0.63.png,train_calib,1175,176,983,783,51,1777
1237_0.86_1.79.png,train_calib,2243,23,725,461,172,1187
1238_0.86_1.03.png,train_calib,772,677,651,87,1,1997
1239_0.66_1.97.png,train_calib,2640,0,223,187,36,1246
1241_0.63_0.93.png,train_calib,1073,533,1419,703,51,1106
1253_0.91_1.15.png,train_calib,2275,0,48,28,5,1778
1257_0.92_0.83.png,train_calib,3545,22,170,42,10,369
1275_0.54_1.73.png,train_calib,2373,36,1426,1307,102,266
1276_0.95_0.5.png,train_calib,2961,317,271,131,33,569
1280_0.67_0.76.png,train_calib,1284,137,493,135,29,2206
1300_0.92_1.03.png,train_calib,402,361,1196,129,0,2137
1301_0.95_1.37.png,train_calib,2685,44,340,204,34,1041
1314_0.66_0.77.png,train_calib,669,191,918,617,62,2351
1319_0.88_1.19.png,train_calib,1428,12,898,524,223,1865
133_0.75_1.91.png,train_calib,2785,125,667,198,9,519
1343_0.89_0.89.png,train_calib,2862,104,363,187,26,778
1344_0.71_0.79.png,train_calib,2529,178,706,283,29,707
1349_0.94_1.22.png,train_calib,1358,149,1129,329,12,1468
1350_0.6_0.99.png,train_calib,442,394,1104,793,5,2161
1351_0.98_1.46.png,train_calib,1822,85,1029,623,159,1279
1356_0.95_1.17.png,train_calib,1373,1015,296,107,12,1423
1371_0.85_0.62.png,train_calib,809,462,552,35,3,2276
1373_0.73_0.81.png,train_calib,1060,104,319,134,3,2616
1374_0.91_1.06.png,train_calib,1926,35,63,29,18,2073
1385_0.67_0.95.png,train_calib,940,566,929,380,100,1699
1390_0.57_1.23.png,train_calib,1577,221,1331,738,0,967
1391_0.87_1.32.png,train_calib,1704,38,975,751,166,1395
1398_0.8_1.34.png,train_calib,3296,14,625,279,136,280
1402_0.73_0.73.png,train_calib,2602,92,708,567,38,708
1414_0.88_1.69.png,train_calib,2562,40,237,91,100,1307
1415_0.67_1.4.png,train_calib,2211,124,831,467,114,1017
1430_0.51_1.86.png,train_calib,3237,0,223,200,57,645
1431_0.81_0.84.png,train_calib,2145,837,897,453,5,221
1441_0.58_1.73.png,train_calib,3607,65,124,1,59,323
1444_0.58_1.95.png,train_calib,3808,16,172,3,95,152
1447_0.8_1.55.png,train_calib,3335,1,44,16,0,716
1467_0.61_1.24.png,train_calib,1559,0,24,0,27,2528
1468_0.81_0.54.png,train_calib,688,154,325,117,20,2948
1487_0.99_1.08.png,train_calib,1704,355,789,288,77,1281
1488_0.71_1.67.png,train_calib,2136,179,862,492,277,1007
1508_0.6_1.12.png,train_calib,257,1644,1591,275,4,608
1514_0.53_0.9.png,train_calib,362,560,1229,263,51,1991
1520_0.69_1.99.png,train_calib,712,1371,1089,98,57,968
1529_0.84_0.56.png,train_calib,278,2035,1460,305,2,323
1540_0.88_1.25.png,train_calib,2099,324,474,135,37,1222
1546_0.79_0.85.png,train_calib,618,774,470,122,32,2246
1556_0.51_0.85.png,train_calib,325,1103,1276,446,21,1403
1564_0.56_1.56.png,train_calib,565,495,941,413,86,2147
156_0.57_1.11.png,train_calib,2838,55,220,109,20,1003
1572_0.9_1.45.png,train_calib,1254,573,518,161,137,1821
1581_0.62_0.7.png,train_calib,491,795,1768,657,51,1086
1590_0.78_0.63.png,train_calib,297,1312,1454,413,1,1034
1597_0.69_1.45.png,train_calib,1093,458,1550,683,43,1017
1603_0.54_0.74.png,train_calib,57,1788,492,48,2,1761
1616_0.76_0.88.png,train_calib,758,525,1445,924,6,1374
1656_0.64_1.45.png,train_calib,375,199,349,18,16,3182
1660_0.83_0.67.png,train_calib,133,837,408,75,0,2718
1665_0.57_1.62.png,train_calib,495,235,736,81,14,2644
1670_0.72_1.61.png,train_calib,2537,158,308,54,27,1113
1672_0.86_1.68.png,train_calib,2882,85,268,86,11,869
1706_0.83_0.85.png,train_calib,423,654,1514,624,6,1511
170_0.76_1.19.png,train_calib,2647,101,936,707,23,424
