target_bucket,oracle_action_family,table_action_family,oracle_stage_set,table_stage_set,oracle_source_bucket,table_source_bucket,count
easy_top25,mild,noop,S5_bottleneck_mid,noop,easy_top25,noop,8
easy_top25,mild,noop,S6_early_mid_final,noop,easy_top25,noop,7
easy_top25,noop,noop,noop,noop,noop,noop,5
hard_bottom25,medium,noop,S5_bottleneck_mid,noop,hard_bottom25,noop,1
hard_bottom25,medium,strong,S4_final_decoder,S5_bottleneck_mid,all,hard_bottom25,1
hard_bottom25,medium,strong,S5_bottleneck_mid,S5_bottleneck_mid,all,hard_bottom25,1
hard_bottom25,noop,mild,noop,S5_bottleneck_mid,noop,all,1
hard_bottom25,strong,mild,S5_bottleneck_mid,S5_bottleneck_mid,hard_bottom25,all,2
hard_bottom25,strong,mild,S6_early_mid_final,S5_bottleneck_mid,hard_bottom25,all,1
hard_bottom25,strong,noop,S4_final_decoder,noop,hard_bottom25,noop,1
hard_bottom25,strong,noop,S5_bottleneck_mid,noop,hard_bottom25,noop,6
hard_bottom25,strong,noop,S6_early_mid_final,noop,hard_bottom25,noop,3
hard_bottom25,strong,strong,S5_bottleneck_mid,S5_bottleneck_mid,all,hard_bottom25,1
hard_bottom25,strong,strong,S5_bottleneck_mid,S5_bottleneck_mid,hard_bottom25,hard_bottom25,1
hard_bottom25,strong,strong,S6_early_mid_final,S5_bottleneck_mid,hard_bottom25,hard_bottom25,1
mid_50,medium,noop,S4_final_decoder,noop,all,noop,1
mid_50,medium,noop,S5_bottleneck_mid,noop,all,noop,5
mid_50,medium,noop,S5_bottleneck_mid,noop,mid_50,noop,9
mid_50,medium,noop,S6_early_mid_final,noop,all,noop,4
mid_50,medium,noop,S6_early_mid_final,noop,mid_50,noop,6
mid_50,mild,noop,S4_final_decoder,noop,mid_50,noop,1
mid_50,mild,noop,S6_early_mid_final,noop,all,noop,1
mid_50,mild,noop,S6_early_mid_final,noop,mid_50,noop,4
mid_50,noop,noop,noop,noop,noop,noop,9
