sample_name,sample_index,teacher_mode,student_context,baseline_context,alpha,alpha_label,teacher_delta_vs_same_contract_A0,eligible,mask_reason,hardness_bucket,strong_reference_bucket
1896_0.7_0.8.png,993,full_image_output_slice,full_image_slice,full_image_slice,0.5,a0p5,4.659450531005859,True,positive_same_contract_teacher_delta,easy,strong_reference
2370_0.65_1.01.png,1521,full_image_output_slice,full_image_slice,full_image_slice,0.5,a0p5,2.993316650390625,True,positive_same_contract_teacher_delta,easy,strong_reference
2397_0.64_0.76.png,1550,full_image_output_slice,full_image_slice,full_image_slice,0.5,a0p5,0.4567604064941406,True,positive_same_contract_teacher_delta,easy,strong_reference
627_0.51_0.54.png,2585,full_image_output_slice,full_image_slice,full_image_slice,0.5,a0p5,4.428672790527344,True,positive_same_contract_teacher_delta,easy,strong_reference
1893_0.53_1.29.png,990,full_image_output_slice,full_image_slice,full_image_slice,0.5,a0p5,2.918109893798828,True,positive_same_contract_teacher_delta,easy,strong_reference
720_0.62_1.27.png,2689,full_image_output_slice,full_image_slice,full_image_slice,0.5,a0p5,2.454010009765625,True,positive_same_contract_teacher_delta,easy,strong_reference
861_0.95_0.65.png,2845,full_image_output_slice,full_image_slice,full_image_slice,0.5,a0p5,3.3234901428222656,True,positive_same_contract_teacher_delta,easy,strong_reference
500_0.56_0.68.png,2445,full_image_output_slice,full_image_slice,full_image_slice,0.5,a0p5,5.349220275878906,True,positive_same_contract_teacher_delta,easy,strong_reference
290_0.6_1.14.png,2120,full_image_output_slice,full_image_slice,full_image_slice,0.5,a0p5,2.528076171875,True,positive_same_contract_teacher_delta,easy,strong_reference
1291_0.62_0.59.png,322,full_image_output_slice,full_image_slice,full_image_slice,0.5,a0p5,3.951030731201172,True,positive_same_contract_teacher_delta,easy,strong_reference
1479_0.8_1.08.png,530,full_image_output_slice,full_image_slice,full_image_slice,0.5,a0p5,6.7491912841796875,True,positive_same_contract_teacher_delta,hard,not_strong
810_0.78_1.52.png,2789,full_image_output_slice,full_image_slice,full_image_slice,0.5,a0p5,7.279827117919922,True,positive_same_contract_teacher_delta,hard,not_strong
490_0.83_1.67.png,2433,full_image_output_slice,full_image_slice,full_image_slice,0.5,a0p5,7.242431640625,True,positive_same_contract_teacher_delta,hard,not_strong
492_0.61_1.32.png,2435,full_image_output_slice,full_image_slice,full_image_slice,0.5,a0p5,6.952552795410156,True,positive_same_contract_teacher_delta,hard,not_strong
453_0.76_1.67.png,2392,full_image_output_slice,full_image_slice,full_image_slice,0.5,a0p5,3.709766387939453,True,positive_same_contract_teacher_delta,hard,not_strong
518_0.95_1.66.png,2464,full_image_output_slice,full_image_slice,full_image_slice,0.5,a0p5,7.555240631103516,True,positive_same_contract_teacher_delta,hard,not_strong
628_0.64_1.31.png,2586,full_image_output_slice,full_image_slice,full_image_slice,0.5,a0p5,6.636953353881836,True,positive_same_contract_teacher_delta,hard,not_strong
1197_0.84_0.85.png,217,full_image_output_slice,full_image_slice,full_image_slice,0.5,a0p5,6.787403106689453,True,positive_same_contract_teacher_delta,hard,not_strong
907_0.73_1.72.png,2896,full_image_output_slice,full_image_slice,full_image_slice,0.5,a0p5,6.6394805908203125,True,positive_same_contract_teacher_delta,hard,not_strong
268_0.79_1.15.png,1875,full_image_output_slice,full_image_slice,full_image_slice,0.5,a0p5,7.0122222900390625,True,positive_same_contract_teacher_delta,hard,not_strong
126_0.75_1.47.png,298,full_image_output_slice,full_image_slice,full_image_slice,0.5,a0p5,1.6168785095214844,True,positive_same_contract_teacher_delta,hard,not_strong
127_0.99_1.4.png,309,full_image_output_slice,full_image_slice,full_image_slice,0.5,a0p5,5.446926116943359,True,positive_same_contract_teacher_delta,hard,not_strong
812_0.59_0.82.png,2791,full_image_output_slice,full_image_slice,full_image_slice,0.5,a0p5,7.531524658203125,True,positive_same_contract_teacher_delta,mid,not_strong
467_0.75_1.41.png,2407,full_image_output_slice,full_image_slice,full_image_slice,0.5,a0p5,4.978172302246094,True,positive_same_contract_teacher_delta,mid,not_strong
1166_0.73_1.03.png,183,full_image_output_slice,full_image_slice,full_image_slice,0.5,a0p5,7.403221130371094,True,positive_same_contract_teacher_delta,mid,not_strong
355_0.85_0.53.png,2283,full_image_output_slice,full_image_slice,full_image_slice,0.5,a0p5,5.954200744628906,True,positive_same_contract_teacher_delta,mid,not_strong
784_0.73_1.21.png,2759,full_image_output_slice,full_image_slice,full_image_slice,0.5,a0p5,4.649822235107422,True,positive_same_contract_teacher_delta,mid,not_strong
267_0.59_0.62.png,1864,full_image_output_slice,full_image_slice,full_image_slice,0.5,a0p5,6.487033843994141,True,positive_same_contract_teacher_delta,mid,not_strong
1397_0.94_0.79.png,439,full_image_output_slice,full_image_slice,full_image_slice,0.5,a0p5,6.467765808105469,True,positive_same_contract_teacher_delta,mid,not_strong
672_0.8_0.77.png,2635,full_image_output_slice,full_image_slice,full_image_slice,0.5,a0p5,6.6449127197265625,True,positive_same_contract_teacher_delta,mid,not_strong
75_0.61_0.9.png,2732,full_image_output_slice,full_image_slice,full_image_slice,0.5,a0p5,6.9850006103515625,True,positive_same_contract_teacher_delta,mid,not_strong
1462_0.61_1.4.png,512,full_image_output_slice,full_image_slice,full_image_slice,0.5,a0p5,5.689910888671875,True,positive_same_contract_teacher_delta,mid,not_strong
